team,elo
Argentina,2065.704871310771
Spain,2050.2446567282004
France,2015.2847447387928
Brazil,1970.0456542059812
Portugal,1963.0936002260582
England,1956.1346575886905
Colombia,1947.551432188296
Netherlands,1930.6764000973546
Germany,1929.6383054245814
Morocco,1921.0047502105933
Mexico,1917.1988247541306
Japan,1897.8217186544189
Italy,1893.3542784840054
Belgium,1892.2456420087315
Croatia,1874.42095502509
Switzerland,1873.0069554764689
Ecuador,1864.145603950951
Norway,1863.9641689339974
Denmark,1853.277575519488
Turkey,1844.3865217208984
Austria,1832.2941869059102
United States,1831.964212332054
Uruguay,1829.3918763152055
Iran,1817.5031145108037
Algeria,1816.4145110298539
Canada,1808.7430414429625
Paraguay,1801.3592348141265
South Korea,1799.383973428513
Australia,1798.8962293951338
Senegal,1792.5388386840784
Russia,1789.7013685629208
Basque Country,1781.3156562173942
Ukraine,1772.2441690323824
Egypt,1770.6494626012063
Ivory Coast,1770.5158313594175
Hungary,1761.1593454069625
Poland,1754.8378831719563
Nigeria,1754.4279137237747
Sweden,1750.134490393572
Serbia,1745.2658001412678
Jersey,1742.7372375264356
Scotland,1741.572614154709
Czech Republic,1741.0609437041803
Chile,1740.935291951039
Venezuela,1740.2992789618625
Greece,1732.7538140812164
Yugoslavia,1727.1520458475425
Uzbekistan,1715.326888302249
Republic of Ireland,1713.256187214544
Slovenia,1710.1519208501054
Czechoslovakia,1700.9037197125485
Catalonia,1694.6772320097464
Peru,1692.897550646031
Wales,1691.6031931037
German DR,1691.429162807376
Panama,1689.0433903860235
Kosovo,1687.861636014337
DR Congo,1687.0655563084874
Slovakia,1684.4104703677272
Guernsey,1684.037215126623
Iraq,1675.6969411362513
Georgia,1664.609542893378
Saudi Arabia,1663.9381609351542
Cameroon,1661.5799186684935
Costa Rica,1659.7650227539284
Tunisia,1658.6581592914624
Romania,1657.780401577585
Jordan,1656.7623641380987
South Africa,1650.730023562727
Ynys Môn,1649.7536323817542
Mali,1646.1041607061493
Isle of Man,1644.1429816975879
Israel,1637.7862030953727
United Arab Emirates,1637.42257768177
Bosnia and Herzegovina,1633.8211945903204
Cape Verde,1633.7287096469652
Occitania,1630.1788763325328
Padania,1626.5075050591443
Northern Cyprus,1625.771082548952
Andalusia,1622.7772760018909
Bolivia,1621.8193627755056
Isle of Wight,1620.458016243351
Honduras,1617.8588096830856
Northern Ireland,1616.5715786361723
New Zealand,1616.4992774808084
Burkina Faso,1612.358645518957
Albania,1611.827673631915
Jamaica,1609.110816438694
North Macedonia,1600.5144780936375
Kernow,1598.964150679029
Abkhazia,1595.0617908670433
Ghana,1592.7556123213292
Iraqi Kurdistan,1592.32108096909
Iceland,1591.3911204109525
Haiti,1584.2119926804849
Oman,1581.9953466778395
Guatemala,1574.2537857705836
Rhodes,1572.7674213404985
Corsica,1572.095065175531
Qatar,1569.8990996209866
Finland,1569.095792278408
County of Nice,1568.0151976251118
Kárpátalja,1565.5065538317967
Belarus,1561.461648911592
Angola,1557.1593579924404
Yorkshire,1555.338769381185
Réunion,1553.3595654044323
Ellan Vannin,1553.1960335277838
Montenegro,1551.3814882136674
Galicia,1551.0914213669625
Tamil Eelam,1550.7244532354373
China,1549.460920098441
Thailand,1547.4071739652707
Artsakh,1547.272519356656
Kurdistan,1546.7127325728611
New Caledonia,1535.24403265258
Arameans Suryoye,1534.3375175534247
Suriname,1532.1925249028334
Vietnam,1531.0719133169637
Malaysia,1530.379607697312
Panjab,1530.2984410380673
Maule Sur,1528.6802751485857
Cascadia,1528.3966071852526
Syria,1527.8583096746347
Brittany,1527.8285624732705
Bulgaria,1526.6244298834622
Libya,1525.5394389356045
Menorca,1524.1798506784194
Elba Island,1521.7417317484098
Curaçao,1520.9125455508665
Canary Islands,1520.6031527961645
Bahrain,1520.5198162860945
Palestine,1520.2658687555768
Gabon,1516.5420021006396
Biafra,1516.290927039593
Asturias,1516.264255770038
Chameria,1515.5188038367621
Zanzibar,1514.7309895139122
Silesia,1514.3827061503578
Surrey,1513.6113484909145
Parishes of Jersey,1513.5422211443222
Guinea,1513.380815439676
Indonesia,1512.5249813404835
